id,label,alt_labels,parent_id
SK5358,Location allocation decision support system LADSS,locationallocationdecisionsupportsystemladss,43232605
SK5360,PlanGraphics Citywide GIS Utility,plangraphicscitywidegisutility,43232510
SK5363,Scientific Software Group ModTech,scientificsoftwaregroupmodtech,43232605
SK5364,Spatial decision support systems SDSS software,spatialdecisionsupportsystemssdsssoftware,43233506
SK5371,Apple Final Cut Express,applefinalcutexpress,43232103
SK5396,Digital image collections,digitalimagecollections,43232309
SK5399,Library of Congress digital collections,libraryofcongressdigitalcollections,43232309
SK5406,Smithsonian Institution digital archives,smithsonianinstitutiondigitalarchives,43232309
SK5414,EBSCO Publishing Political Science Complete,ebscopublishingpoliticalsciencecomplete,43232309
SK5419,Interuniversity Consortium for Political and Social Research (ICPSR) database,interuniversityconsortiumforpoliticalandsocialresearch(icpsr)database,43232306
SK5425,ProQuest Worldwide Political Science Abstracts,proquestworldwidepoliticalscienceabstracts,43232309
SK5429,Dowling Associates TRAFFIX,dowlingassociatestraffix,43232605
SK5450,Scientific analysis software,scientificanalysissoftware,43232605
SK5457,Parallel Geoscience SPW,parallelgeosciencespw,43232605
SK5470,REDCap Research Electronic Data Capture,redcapresearchelectronicdatacapture,43232605
SK5490,Automated Biometric Identification System ABIS,automatedbiometricidentificationsystemabis,43232306
SK5497,National Crime Information Center (NCIC) database,nationalcrimeinformationcenter(ncic)database,43232306
SK5501,Trancite Logic Systems ScenePD,trancitelogicsystemsscenepd,43232102
SK5515,GeoCue PointVue LE,geocuepointvuele,43232605
SK5528,Industrial Scientific iNET,industrialscientificinet,43232608
SK5551,Career decision-making programs,"career decision making programs,career decisionmaking programs,careerdecision-makingprograms",43232306
SK5570,Social Solutions ETO,socialsolutionseto,43232306
SK5611,Social Work Software ClientTouch,socialworksoftwareclienttouch,43232610
SK5646,Computer Sciences Corporation Legal Solutions Suite,computersciencescorporationlegalsolutionssuite,43232306
SK5656,Customer Expressions i-Sight,"customer expressions i sight,customer expressions isight,customerexpressionsi-sight",43231507
SK5664,eLawSoftware,,43232306
SK5689,LexisNexis Shepard's Citations Service,lexisnexisshepard'scitationsservice,43232309
SK5702,Solution Specialties TRACKER,solutionspecialtiestracker,43232306
SK5737,Appligent Citation FDFMerge,appligentcitationfdfmerge,43232202
SK5746,Digital contract software,digitalcontractsoftware,43232112
SK5748,Electronic discovery software,electronicdiscoverysoftware,43232605
SK5754,Inmagic DB/TextWorks,"inmagic db,inmagicdb/textworks,textworks",43232202
SK5759,LexisNexis CheckCite,lexisnexischeckcite,43232104
SK5789,Geographic information system GIS databases,geographicinformationsystemgisdatabases,43232510
SK5795,Almaris E-Learning Systems Financial Accounting Tutor,"almaris e learning systems financial accounting tutor,almaris elearning systems financial accounting tutor,almarise-learningsystemsfinancialaccountingtutor",43232502
SK5824,Ikon Science RokDoc,ikonsciencerokdoc,43232605
SK5828,Platte River Associates BasinMod,platteriverassociatesbasinmod,43232605
SK5849,Digitizing software,digitizingsoftware,43232111
SK5854,Python Experimental Economics Toolkit PEET,pythonexperimentaleconomicstoolkitpeet,43232605
SK5882,Social network analysis software,socialnetworkanalysissoftware,43232605
SK5885,TechSmith Snagit,techsmithsnagit,43232102
SK5891,Association for Computing Machinery Digital Library,associationforcomputingmachinerydigitallibrary,43232306
SK5894,EBSCO Information Services Library Literature and Information Science Index,ebscoinformationserviceslibraryliteratureandinformationscienceindex,43232609
SK5895,"EBSCO Library, Information Science, and Technology Abstracts LISTSA","ebscolibrary,informationscience,andtechnologyabstractslistsa",43232609
SK5897,Elsevier ScienceDirect,elseviersciencedirect,43232609
SK5899,Gale Cengage Learning Associations Unlimited,galecengagelearningassociationsunlimited,43232306
SK5902,OCLC ILLiad,oclcilliad,43232609
